2021-06-12 01:59:44.130 [main] ERROR traning.task03a.service.impl.MatrixServiceImpl - The method is exception, incompatible matrices
2021-06-12 01:59:44.201 [main] ERROR traning.task03a.service.impl.MatrixServiceImpl - The method is exception, incompatible matrices
2021-06-12 01:59:44.202 [main] ERROR traning.task03a.service.creator.MatrixCreator - The method is exception, non-natural values
2021-06-12 01:59:44.204 [main] ERROR traning.task03a.service.impl.MatrixServiceImpl - The method is exception, incompatible matrices
2021-06-12 01:59:44.221 [main] ERROR traning.task03a.service.impl.MatrixServiceImpl - The method is exception, incompatible matrices
2021-06-12 01:59:44.222 [main] ERROR traning.task03a.service.creator.MatrixCreator - The method is exception, non-natural values
2021-06-12 01:59:44.224 [main] ERROR traning.task03a.service.impl.MatrixServiceImpl - The method is exception, incompatible matrices
2021-06-12 02:03:41.767 [main] ERROR traning.task03a.service.creator.MatrixCreator - The method is exception, non-natural values
2021-06-12 02:03:41.773 [main] ERROR traning.task03a.service.creator.MatrixCreator - The method is exception, non-natural values
2021-06-12 02:03:41.774 [main] ERROR traning.task03a.service.creator.MatrixCreator - The method is exception, non-natural values
2021-06-12 02:03:41.775 [main] ERROR traning.task03a.service.creator.MatrixCreator - The method is exception, non-natural values
2021-06-12 02:03:46.890 [main] ERROR traning.task03a.service.creator.MatrixCreator - The method is exception, non-natural values
2021-06-12 02:03:46.894 [main] ERROR traning.task03a.service.creator.MatrixCreator - The method is exception, non-natural values
2021-06-12 02:03:46.896 [main] ERROR traning.task03a.service.creator.MatrixCreator - The method is exception, non-natural values
2021-06-12 02:03:46.897 [main] ERROR traning.task03a.service.creator.MatrixCreator - The method is exception, non-natural values
2021-06-12 02:22:31.443 [main] ERROR traning.task03a.service.creator.FileCreator - The method is exception, the fileData was not found
2021-06-12 02:37:43.162 [main] ERROR traning.task03a.dao.impl.FileArrayDAO - The method is exception.The fileDataForData File(pathFromContentRoot=src/main/resources/testFile.txt, fileData=src\main\resources\testFile.txt) did not read
2021-06-12 02:37:55.586 [main] ERROR traning.task03a.dao.impl.FileArrayDAO - The method is exception.The fileDataForData File(pathFromContentRoot=src/main/resources/testFile.txt, fileData=src\main\resources\testFile.txt) contains more than just numbers
2021-06-12 02:38:04.636 [main] ERROR traning.task03a.dao.impl.FileArrayDAO - The method is exception.The fileDataForData File(pathFromContentRoot=src/main/resources/testFile.txt, fileData=src\main\resources\testFile.txt) contains more than just numbers
2021-06-12 02:55:25.805 [main] ERROR traning.task03a.dao.impl.FileArrayDAO - The method is exception.The fileDataForData File(pathFromContentRoot=src/main/resources/matrixFileTest.txt, fileData=src\main\resources\matrixFileTest.txt) contains more than just numbers
2021-06-12 02:56:31.620 [main] ERROR traning.task03a.dao.impl.FileArrayDAO - The method is exception.The fileDataForData File(pathFromContentRoot=src/main/resources/matrixFileTest.txt, fileData=src\main\resources\matrixFileTest.txt) contains more than just numbers
2021-06-12 03:26:11.852 [main] ERROR traning.task03a.dao.impl.FileMatrixDAO - The method is exception.The fileDataForData File(pathFromContentRoot=src/main/resources/matrixFileTest.txt, fileData=src\main\resources\matrixFileTest.txt) contains wrong numbers
2021-06-12 03:27:27.309 [main] ERROR traning.task03a.dao.impl.FileMatrixDAO - The method is exception.The fileDataForData File(pathFromContentRoot=src/main/resources/matrixFileTest.txt, fileData=src\main\resources\matrixFileTest.txt) contains wrong numbers
2021-06-13 17:50:53.510 [main] ERROR by.traning.task03a.controller.CommandProvider - The method is exception, wrong request
2021-06-13 17:56:05.996 [main] ERROR by.traning.task03a.controller.CommandProvider - The method is exception, wrong request
2021-06-13 17:57:16.454 [main] ERROR by.traning.task03a.controller.CommandProvider - The method is exception, wrong request
2021-06-13 17:57:31.224 [main] ERROR by.traning.task03a.controller.CommandProvider - The method is exception, wrong request
2021-06-13 17:57:42.805 [main] ERROR by.traning.task03a.controller.CommandProvider - The method is exception, wrong request
2021-06-13 17:58:40.748 [main] ERROR by.traning.task03a.controller.CommandProvider - The method is exception, wrong request
2021-06-13 18:13:32.278 [main] ERROR by.traning.task03a.controller.CommandProvider - The method is exception, wrong request
2021-06-13 18:16:09.047 [main] ERROR by.traning.task03a.controller.CommandProvider - The method is exception, wrong request
2021-06-13 18:17:01.083 [main] ERROR by.traning.task03a.controller.CommandProvider - The method is exception, wrong request
2021-06-13 18:18:04.833 [main] ERROR by.traning.task03a.controller.CommandProvider - The method is exception, wrong request
2021-06-13 18:18:24.828 [main] ERROR by.traning.task03a.controller.CommandProvider - The method is exception, wrong request
2021-06-13 18:21:25.473 [main] ERROR by.traning.task03a.controller.CommandProvider - The method is exception, wrong request
2021-06-13 18:21:32.277 [main] ERROR by.traning.task03a.controller.CommandProvider - The method is exception, wrong request
2021-06-13 18:29:12.931 [main] ERROR by.traning.task03a.controller.CommandProvider - The method is exception, wrong request
2021-06-13 19:11:05.650 [main] ERROR traning.task03a.service.creator.MatrixCreator - The method is exception, non-natural values
2021-06-13 19:11:05.655 [main] ERROR traning.task03a.service.action.MatrixServiceAction - The method is exception, incompatible matrices
2021-06-13 19:11:05.656 [main] ERROR traning.task03a.service.action.MatrixServiceAction - The method is exception, incompatible matrices
2021-06-13 19:11:05.737 [main] ERROR traning.task03a.service.action.MatrixServiceAction - The method is exception, incompatible matrices
2021-06-13 19:11:05.739 [main] ERROR traning.task03a.service.creator.MatrixCreator - The method is exception, non-natural values
2021-06-13 19:11:05.740 [main] ERROR traning.task03a.service.action.MatrixServiceAction - The method is exception, incompatible matrices
2021-06-13 19:11:05.748 [main] ERROR traning.task03a.service.action.MatrixServiceAction - The method is exception, incompatible matrices
2021-06-13 19:11:05.749 [main] ERROR traning.task03a.service.creator.MatrixCreator - The method is exception, non-natural values
2021-06-13 19:11:05.751 [main] ERROR traning.task03a.service.action.MatrixServiceAction - The method is exception, incompatible matrices
2021-06-13 19:21:52.099 [main] ERROR traning.task03a.dao.impl.FileMatrixDAO - The method is exception. The matrix [[0, 0, 0], [0, 0, 0], [0, 0, 0]] didn't write
2021-06-13 19:21:52.103 [main] ERROR traning.task03a.service.impl.MatrixServiceImpl - The method is invoked
by.traning.task03a.dao.exception.DAOException: The array did not write
	at by.traning.task03a.dao.impl.FileMatrixDAO.write(FileMatrixDAO.java:61) ~[classes/:?]
	at by.traning.task03a.service.impl.MatrixServiceImpl.writeData(MatrixServiceImpl.java:67) [classes/:?]
	at by.traning.task03a.service.impl.MatrixServiceImpl.matrixSubtraction(MatrixServiceImpl.java:110) [classes/:?]
	at by.traning.task03a.controller.impl.MatrixSubtraction.execute(MatrixSubtraction.java:20) [classes/:?]
	at by.traning.task03a.controller.Controller.executeTask(Controller.java:18) [classes/:?]
	at by.traning.task03a.Main.main(Runnable.java:13) [classes/:?]
Caused by: java.nio.fileData.FileAlreadyExistsException: src\main\resources\matrixResult.txt
	at sun.nio.fs.WindowsException.translateToIOException(WindowsException.java:87) ~[?:?]
	at sun.nio.fs.WindowsException.rethrowAsIOException(WindowsException.java:103) ~[?:?]
	at sun.nio.fs.WindowsException.rethrowAsIOException(WindowsException.java:108) ~[?:?]
	at sun.nio.fs.WindowsFileSystemProvider.newByteChannel(WindowsFileSystemProvider.java:236) ~[?:?]
	at java.nio.fileData.spi.FileSystemProvider.newOutputStream(FileSystemProvider.java:478) ~[?:?]
	at java.nio.fileData.Files.newOutputStream(Files.java:224) ~[?:?]
	at java.nio.fileData.Files.write(Files.java:3556) ~[?:?]
	at java.nio.fileData.Files.write(Files.java:3607) ~[?:?]
	at by.traning.task03a.dao.impl.FileMatrixDAO.write(FileMatrixDAO.java:56) ~[classes/:?]
	... 5 more
2021-06-13 19:21:52.119 [main] ERROR traning.task03a.controller.impl.MatrixSubtraction - The method is exception, error during the procedure
by.traning.task03a.service.exception.ServiceException: The method is invoked
	at by.traning.task03a.service.impl.MatrixServiceImpl.writeData(MatrixServiceImpl.java:70) ~[classes/:?]
	at by.traning.task03a.service.impl.MatrixServiceImpl.matrixSubtraction(MatrixServiceImpl.java:110) ~[classes/:?]
	at by.traning.task03a.controller.impl.MatrixSubtraction.execute(MatrixSubtraction.java:20) [classes/:?]
	at by.traning.task03a.controller.Controller.executeTask(Controller.java:18) [classes/:?]
	at by.traning.task03a.Main.main(Runnable.java:13) [classes/:?]
Caused by: by.traning.task03a.dao.exception.DAOException: The array did not write
	at by.traning.task03a.dao.impl.FileMatrixDAO.write(FileMatrixDAO.java:61) ~[classes/:?]
	at by.traning.task03a.service.impl.MatrixServiceImpl.writeData(MatrixServiceImpl.java:67) ~[classes/:?]
	... 4 more
Caused by: java.nio.fileData.FileAlreadyExistsException: src\main\resources\matrixResult.txt
	at sun.nio.fs.WindowsException.translateToIOException(WindowsException.java:87) ~[?:?]
	at sun.nio.fs.WindowsException.rethrowAsIOException(WindowsException.java:103) ~[?:?]
	at sun.nio.fs.WindowsException.rethrowAsIOException(WindowsException.java:108) ~[?:?]
	at sun.nio.fs.WindowsFileSystemProvider.newByteChannel(WindowsFileSystemProvider.java:236) ~[?:?]
	at java.nio.fileData.spi.FileSystemProvider.newOutputStream(FileSystemProvider.java:478) ~[?:?]
	at java.nio.fileData.Files.newOutputStream(Files.java:224) ~[?:?]
	at java.nio.fileData.Files.write(Files.java:3556) ~[?:?]
	at java.nio.fileData.Files.write(Files.java:3607) ~[?:?]
	at by.traning.task03a.dao.impl.FileMatrixDAO.write(FileMatrixDAO.java:56) ~[classes/:?]
	at by.traning.task03a.service.impl.MatrixServiceImpl.writeData(MatrixServiceImpl.java:67) ~[classes/:?]
	... 4 more
2021-06-13 19:22:09.251 [main] ERROR traning.task03a.dao.impl.FileMatrixDAO - The method is exception. The matrix [[10, 16, 20], [19, 30, 37], [10, 16, 20]] didn't write
2021-06-13 19:22:09.252 [main] ERROR traning.task03a.service.impl.MatrixServiceImpl - The method is invoked
by.traning.task03a.dao.exception.DAOException: The array did not write
	at by.traning.task03a.dao.impl.FileMatrixDAO.write(FileMatrixDAO.java:61) ~[classes/:?]
	at by.traning.task03a.service.impl.MatrixServiceImpl.writeData(MatrixServiceImpl.java:67) [classes/:?]
	at by.traning.task03a.service.impl.MatrixServiceImpl.matrixMultiply(MatrixServiceImpl.java:84) [classes/:?]
